@relation git_repo_quality

@attribute avg_complexity real
@attribute has_tests {false, true}
@attribute sloc real
@attribute has_readme {false, true}
@attribute is_building {false, true}
@attribute coverage numeric
@attribute expertise {1,2,3,4,5}

@data
5.83,false,2355,true,true,-1.0,3
6.11,true,47825,true,true,-1.0,5
2.0,false,40,false,true,-1.0,1
2.59,false,4203,true,false,-1.0,3
5.0,false,661,true,true,-1.0,3
2.33,false,410,true,true,-1.0,3
3.0,false,55,false,true,-1.0,1
4.76,false,800,true,true,-1.0,3
3.84,true,831,true,true,98.5,5
11.25,false,142,true,true,-1.0,1
4.4,false,649,true,true,24.0,2
7.57,false,6033,true,true,-1.0,3
2.96,false,425,false,true,-1.0,2
4.75,false,109,false,true,-1.0,1
4.26,false,1661,false,true,-1.0,3
2.0,false,71,false,true,-1.0,1
4.31,false,334,true,false,-1.0,2
4.32,false,957,true,true,-1.0,3
4.7,false,7702,true,true,-1.0,4
3.17,true,112593,true,true,50.0,5
4.85,true,214,true,true,95.0,4
2.95,true,666,true,true,-1.0,5
2.91,true,415,true,false,95.7,4
2.6,false,69,true,false,53.0,1
2.7,true,549,true,false,-1.0,3
7.12,false,2441,true,true,-1.0,3
3.51,false,7263,true,true,-1.0,4
3.6,false,548,false,true,-1.0,2
3.16,false,462,true,true,13.0,3
3.45,true,1719,true,false,-1.0,2
3.77,false,1094,false,true,-1.0,3
3.17,true,695,true,true,86.0,4
4.58,false,5086,true,true,-1.0,4
5.66,false,214,false,true,-1.0,2
3.22,true,12657,true,true,-1.0,5
3.63,true,669,true,true,87.0,4
3.66,false,137,true,true,-1.0,3
3.68,true,2552,true,true,-1.0,5
3.39,false,293,true,true,-1.0,3
4.41,false,2056,true,true,-1.0,4
11.54,true,7258,true,true,-1.0,4
3.0,false,50,true,false,-1.0,1
3.58,true,634,true,true,50.0,4
4.2,true,616,true,true,58.0,4
3.31,true,1690,true,true,-1.0,5
2.5,true,274,true,false,86.0,3
3.43,false,473,false,true,-1.0,3
4.51,false,370,true,true,41.0,3
2.0,false,61,false,true,-1.0,1
3.07,false,21976,false,true,-1.0,4
3.77,false,1094,false,true,-1.0,3
3.96,false,900,true,true,-1.0,3
3.78,true,30946,true,true,-1.0,5
3.83,true,463,true,true,75.0,4
3.4,false,261,false,true,-1.0,2
3.4,false,1630,false,true,-1.0,3
3.6,true,6776,true,true,-1.0,5
3.69,true,4369,true,true,-1.0,5
12.6,true,9081,true,true,-1.0,4
4.0,false,195,true,true,93.9,2
3.48,true,1413,true,true,95.0,5
3.87,true,167,true,true,-1.0,3
2.66,false,56,false,true,-1.0,2
19.25,true,21015,true,true,-1.0,3
3.5,true,1849,true,false,98.4,4
5.4,false,522,true,false,-1.0,2
3.61,true,980,true,true,79.0,5
2.21,true,437,true,true,-1.0,5
5.53,false,447,false,true,-1.0,3
3.2,false,103,false,true,-1.0,2
4.0,false,111,true,true,-1.0,2
3.11,true,247,true,true,98.0,4
2.98,false,37350,true,true,-1.0,4
7.0,true,336,true,false,-1.0,3
3.61,false,356,true,true,-1.0,3
4.47,false,395,true,true,-1.0,3
5.41,true,243021,true,true,-1.0,5
3.78,true,52774,true,true,90.0,5
4.11,true,274523,true,true,-1.0,5
5.57,true,7432,true,true,-1.0,5
5.3,false,270,true,true,-1.0,3
3.41,false,361,true,false,-1.0,2
4.66,true,530,true,true,74.0,4
2.0,false,71,true,true,-1.0,2
7.75,false,248,true,true,-1.0,2
4.0,true,44,true,true,100.0,2
4.63,false,5905,true,true,-1.0,4
4.55,false,1226,true,false,-1.0,2
3.32,false,1653,true,true,-1.0,4
5.33,false,679,true,true,-1.0,3
2.5,false,71,false,true,-1.0,1
4.71,false,591,true,true,-1.0,3
3.5,false,259,true,true,-1.0,3
11.54,true,7258,true,true,-1.0,4
3.13,true,8515,true,true,-1.0,5
3.92,false,1138,true,false,-1.0,2
3.54,false,548,false,true,-1.0,2
8.07,false,493,false,true,-1.0,2
5.03,true,1396,false,true,-1.0,3
4.78,false,21566,true,true,-1.0,4
4.75,false,961,false,true,-1.0,3
4.37,false,107,false,true,-1.0,2
3.71,false,345,true,true,71.0,3
2.66,false,340,false,true,-1.0,2
3.66,false,87,false,true,-1.0,2
6.5,false,150,true,true,-1.0,2
4.76,false,1455,false,true,-1.0,3
2.0,false,276,false,true,-1.0,2
4.11,true,299,true,false,-1.0,2
3.06,false,3495,true,true,17.0,4
2.28,true,409,true,true,50.0,4
3.72,true,655,true,false,74.0,3
3.16,true,550,true,true,91.0,4
3.53,false,128,true,true,-1.0,2
5.27,false,804,true,true,-1.0,3
4.3,true,345231,true,true,-1.0,5
2.84,true,3534,true,true,91.0,5
3.44,true,3485,true,true,98.0,5
4.28,false,5830,true,true,-1.0,4
5.76,true,3088,true,true,5.0,4
3.77,false,641,true,true,-1.0,3
5.41,false,6500,true,true,34.0,4
3.44,false,1334,false,true,-1.0,3
3.72,true,583,true,true,72.0,4
3.26,false,890,true,true,-1.0,3
3.4,false,729,true,true,-1.0,3
6.33,false,55,true,true,-1.0,2
3.82,false,113879,true,true,-1.0,5
5.38,false,6144,true,true,-1.0,4
3.0,false,27,true,true,-1.0,2
3.57,false,97,true,true,-1.0,2
2.84,true,1574,true,true,93.0,5
9.94,true,1574,true,true,94.0,4
2.77,false,315,true,true,-1.0,3
5.4,false,260,false,true,-1.0,2
4.21,true,631,true,true,78.0,4
3.26,true,1501,true,true,-1.0,5
3.8,false,745,true,true,70.0,3
5.5,false,84,true,true,-1.0,2
3.02,false,495,true,true,-1.0,3
3.78,true,1374,true,true,-1.0,5
5.53,false,251,false,true,-1.0,2
8.5,false,145,true,true,-1.0,2
3.57,false,643008,true,true,-1.0,5
5.94,true,1574,true,true,93.0,4
3.76,false,625,true,true,-1.0,3
3.0,false,303,true,true,-1.0,3
4.42,true,124269,true,true,97.8,5
4.33,false,62,false,true,-1.0,2
3.22,true,932,true,true,-1.0,4
4.33,true,223,true,true,-1.0,4
3.61,true,699,true,true,94.0,5
7.75,false,161,true,true,-1.0,2
2.0,false,40,false,true,-1.0,2
4.43,false,5917,true,true,-1.0,4
3.77,true,839,true,true,-1.0,4
2.37,false,756,true,true,-1.0,3
4.16,false,244,true,true,-1.0,3
3.26,true,754,true,true,80.0,4
4.4,false,1598,true,true,-1.0,4
2.25,false,70,true,true,-1.0,2
5.7,false,2829,true,true,-1.0,3
2.62,true,669,true,true,97.0,5
3.0,false,78,true,true,-1.0,2
3.66,false,840,true,true,-1.0,3
4.66,false,168,true,true,-1.0,2
2.33,false,41,true,true,-1.0,2
2.42,false,412,true,true,-1.0,3
2.57,false,198,false,true,-1.0,2
2.08,false,105997,true,false,-1.0,3
3.2,false,100443,true,true,-1.0,4
3.16,false,76147,true,false,-1.0,3
7.0,false,71,false,true,-1.0,1
4.46,false,11509,true,false,-1.0,3
2.33,false,83,true,true,-1.0,2
3.25,true,320,true,true,80.0,4
3.55,true,580,true,true,-1.0,4
10.0,false,62,false,true,-1.0,1
5.88,false,1427,true,true,-1.0,3
5.53,false,447,false,true,-1.0,2
5.78,true,223892,true,true,-1.0,5
4.36,true,514,true,true,71.0,4
2.58,true,228,true,true,-1.0,4
2.92,false,181,false,true,-1.0,2
4.34,true,644,true,true,68.0,4
3.92,false,434,true,true,-1.0,3
4.0,false,317,false,true,-1.0,2
2.82,true,619,true,true,94.0,5
5.07,false,654,false,true,-1.0,2
4.8,false,3095,true,true,-1.0,4
2.0,false,72,true,true,-1.0,2
3.11,true,247,true,true,-1.0,4
3.07,false,1147,true,true,70.0,4
3.28,false,1354,true,true,-1.0,4
3.63,false,8286,true,true,-1.0,4
3.37,true,469,true,true,89.0,5
3.84,false,662,true,true,-1.0,3
2.12,false,144,true,true,100.0,3
3.44,true,2850,true,true,70.0,5
3.0,false,133,true,false,-1.0,1
3.46,true,891,true,true,-1.0,5
5.11,false,435113,true,true,-1.0,4
5.66,false,214,false,true,-1.0,2
3.83,false,120,false,true,-1.0,2
3.03,false,753,true,true,-1.0,3
4.75,false,4299,true,true,-1.0,4
2.5,true,45,false,true,-1.0,2
3.94,true,45044,true,true,-1.0,5
2.0,false,48,false,true,-1.0,2
3.8,false,351,false,true,-1.0,2
3.98,true,3236,true,false,79.0,5
3.66,false,1600,true,true,-1.0,4
3.11,false,239,false,true,-1.0,3
10.98,false,37350,false,true,-1.0,3
5.25,false,162,false,true,-1.0,2
4.65,false,12041,true,true,-1.0,4
3.61,true,980,true,true,79.0,5
2.21,true,437,true,true,-1.0,5
5.53,false,447,false,true,-1.0,3
3.2,false,103,false,true,-1.0,2
4.0,false,111,true,true,-1.0,2
3.11,true,247,true,true,98.0,4
2.98,false,37350,true,true,-1.0,4
7.0,true,336,true,false,-1.0,3
3.61,false,356,true,true,-1.0,3
4.47,false,395,true,true,-1.0,3
5.41,true,243021,true,true,-1.0,5
2.0,false,38,true,true,-1.0,2
5.5,false,84,true,true,-1.0,2
2.0,false,276,false,true,-1.0,3
5.18,false,231,true,true,-1.0,3
3.55,false,102,true,true,-1.0,2
3.59,true,868,true,true,75.0,4
3.57,true,108054,true,true,88.0,5
7.0,false,71,false,true,-1.0,1
5.34,true,5909,true,true,-1.0,5
6.76,true,2024,true,true,90.0,5
6.09,false,369,false,true,-1.0,2
3.55,false,6345,true,true,-1.0,4
4.2,false,2485,true,true,45.0,4
3.25,true,9449,true,true,-1.0,5
4.0,false,2504,true,true,-1.0,4
4.66,false,567,true,true,-1.0,3
2.9,false,227,true,true,-1.0,3
3.78,true,52774,true,true,90.0,5
4.11,true,274523,true,true,-1.0,5
5.57,true,7432,true,true,-1.0,5
5.3,false,270,true,true,-1.0,3
3.41,false,361,true,false,-1.0,2
4.66,true,530,true,true,74.0,4
2.0,false,71,true,true,-1.0,2
7.75,false,248,true,true,-1.0,2
3.12,true,1289,true,true,75.0,4
4.0,false,1393,true,true,-1.0,4
3.64,true,800,true,true,-1.0,4
3.33,false,123,false,true,-1.0,2
3.0,false,84,true,true,-1.0,2
2.52,false,535,true,true,-1.0,3
4.79,true,8554,true,true,-1.0,5
2.25,false,133,true,true,-1.0,2
2.73,false,1387,true,true,-1.0,4
4.66,false,843,true,true,-1.0,4
4.29,false,1080,true,false,-1.0,3
6.5,false,66,false,true,-1.0,1
2.88,false,359,true,false,-1.0,3
3.78,false,37815,true,true,-1.0,4
5.42,false,10979,true,true,-1.0,4
5.12,false,3436,true,true,-1.0,4
2.0,false,37,false,true,-1.0,2
2.98,false,34250,false,true,-1.0,3
4.7,false,316,true,true,-1.0,3
6.8,false,599,true,true,-1.0,3
3.58,false,2282,false,true,-1.0,2
3.75,false,101,false,true,-1.0,2
4.64,false,270161,true,true,-1.0,4
3.16,true,165,true,true,67.0,3
4.15,false,22070,true,true,-1.0,4
3.24,true,702,true,true,-1.0,5
6.17,true,3851,true,true,-1.0,4
10.33,false,462,false,true,-1.0,2
2.75,false,1277,false,true,-1.0,3
2.62,false,743,true,true,-1.0,4
6.58,false,3310,true,true,-1.0,3
4.24,false,453,true,true,-1.0,3
4.32,false,957,true,true,-1.0,3
4.94,false,19260,true,true,-1.0,4
3.17,true,737,true,true,-1.0,4
5.0,false,180,true,true,-1.0,2
2.88,false,717,true,true,-1.0,3
2.0,false,104,false,true,-1.0,2
4.8,false,51,true,true,-1.0,2
2.16,false,312,false,true,-1.0,2
2.77,true,564,true,true,22.0,4
4.74,true,26480,true,true,-1.0,5
3.31,true,982,true,true,84.0,5
3.84,true,472,true,true,-1.0,4
6.0,false,1128,true,true,-1.0,3
14.21,false,998,true,true,-1.0,2
2.0,false,104,false,true,-1.0,2
4.12,false,470,true,true,52.0,3
2.0,true,95,true,true,-1.0,3
5.25,false,37,true,true,-1.0,1
4.64,false,735,true,true,84.0,4
2.09,false,369,false,true,-1.0,3
3.57,false,261,true,false,-1.0,1
4.44,false,337,true,false,0.0,1
3.81,true,3685,true,true,-1.0,5
5.0,false,46,true,true,-1.0,2
3.06,false,945,true,false,-1.0,2
5.3,true,772,true,true,-1.0,4
4.11,false,407,true,true,-1.0,3
6.86,false,148315,true,true,-1.0,4
3.9,false,169,true,false,-1.0,2
3.0,false,107,true,true,75.0,3
2.0,false,48,false,true,-1.0,1
2.77,true,4383,true,true,-1.0,5
13.38,false,3073,true,true,-1.0,3
3.62,false,2024,true,false,-1.0,2
2.38,false,2743,true,true,-1.0,4
7.0,false,99,true,true,-1.0,2
12.72,false,1650,false,true,-1.0,2
3.27,false,1540,false,true,-1.0,3
3.39,true,906,true,true,85.0,5
6.33,false,259,true,true,-1.0,3
2.5,false,164,false,true,-1.0,2
8.5,false,135,true,true,-1.0,2
2.33,false,177,true,true,-1.0,2
4.41,false,2056,true,true,-1.0,4
5.41,false,16668,true,true,-1.0,4
3.04,false,1486,true,false,-1.0,4
6.62,false,183,true,false,-1.0,4
4.05,false,19321,true,true,-1.0,4
3.92,false,1138,true,false,1.0,4
3.01,false,3416,true,true,-1.0,4
3.61,true,1665,true,true,-1.0,4
4.2,false,411,true,true,-1.0,3
3.11,false,10976,true,true,-1.0,4
5.0,false,218,true,false,-1.0,2
3.71,false,159,true,false,-1.0,2
4.86,true,2314,true,true,-1.0,5
2.72,false,660,true,true,-1.0,4
3.89,true,11065,true,true,97.1,5
3.53,true,446,true,true,91.0,5
4.4,true,574,true,true,64.0,3
15.12,false,443,false,true,-1.0,2
3.93,true,655,true,true,77.0,4
3.5,true,278,true,true,-1.0,3
4.45,false,257,true,true,-1.0,3
4.26,false,1661,false,true,-1.0,3
3.0,false,438,false,true,-1.0,3
5.09,false,392745,true,true,-1.0,4
3.29,true,1306,true,true,-1.0,5
5.35,false,3820,true,true,-1.0,4
4.32,false,957,true,true,-1.0,3
5.22,false,644,true,false,-1.0,2
4.13,true,398375,true,true,-1.0,5
4.24,false,66839,true,true,39.0,4

